crop,stage,soil_N,soil_P,soil_K,temperature,rainfall,humidity,soil_pH,irrigation_type,recommended_N,recommended_P,recommended_K,risk
Maize,Fruiting,24,47,76,31.973169683940732,89.00466011060914,47.79972601681013,5.674250836504599,Drip,119,25,0,Medium
Maize,Vegetative,62,6,34,24.246782213565524,95.45624180177515,49.17022549267169,6.412726728878614,Flood,89,67,1,Medium
Maize,Flowering,51,32,64,27.327236865873836,164.01749605425897,79.25879806965068,6.099021346475079,Sprinkler,108,41,0,Medium
Wheat,Flowering,16,25,77,21.30103185970559,287.2213843133333,88.28160165372796,7.925192044349384,Drip,95,33,0,Medium
Cotton,Seedling,17,51,39,38.186408041575646,114.69499540000423,73.1261142176991,6.435133228268233,Flood,122,7,21,Medium
Wheat,Flowering,27,30,48,38.78997883128378,273.70683760691225,69.89499894055426,8.265622705069351,Flood,90,29,0,Low
Maize,Seedling,33,30,64,30.853921663164968,85.23105624369066,80.10984903770199,5.723651931039313,Sprinkler,115,42,0,Medium
Cotton,Fruiting,97,15,12,34.58014336081975,242.81758667148642,43.70223258670452,6.575397185632818,Drip,39,48,50,Medium
Cotton,Vegetative,42,52,27,33.37682505327214,216.48058915437417,69.56488938538635,6.324165378970193,Sprinkler,88,5,32,Medium
Maize,Vegetative,12,5,9,31.225543951389923,242.74179498864024,64.68977981821953,7.068198488145982,Sprinkler,137,62,32,Medium
Wheat,Fruiting,13,34,27,32.08834758555635,184.9602728254183,50.153061236738466,8.328560711673944,Sprinkler,115,26,9,Medium
Rice,Seedling,71,57,10,29.130691409658205,104.61010930420841,60.82549739351831,8.149840776756605,Flood,25,0,35,Low
Wheat,Flowering,71,56,7,20.139042610623815,177.68682564439143,60.87055015743895,6.166323431412191,Sprinkler,48,6,33,Low
Cotton,Fruiting,97,45,56,27.27259204758588,292.9455206802402,88.12236474710556,6.255346887476092,Flood,35,10,3,Low
Wheat,Fruiting,90,53,6,30.05358046457723,62.86968781249734,53.93232321183057,8.22479765789996,Sprinkler,21,6,38,Low
Cotton,Vegetative,41,59,72,21.617066526654305,142.41361401535113,52.10799691387129,7.909419269139688,Drip,108,0,0,Low
Rice,Flowering,25,37,77,26.415601299434716,96.62962759996356,42.0387570777382,7.272678829564725,Sprinkler,68,10,0,Low
Maize,Flowering,28,24,75,23.487328580099827,222.73443452561648,59.33676731502687,8.310189966210203,Drip,122,49,0,Medium
Rice,Flowering,40,34,46,25.15883255430311,214.99601150854477,80.8611100100608,7.165602434798387,Drip,51,11,3,Low
Wheat,Fruiting,18,45,23,34.51911357740479,274.27756498814426,84.35432121325587,7.839626637572872,Sprinkler,108,17,15,Medium
Rice,Fruiting,93,39,29,20.101231676924375,90.20201285437466,67.4366894683293,7.57568559307808,Drip,5,9,16,Low
Cotton,Seedling,23,25,52,34.92982810236048,212.40822476180367,82.4611705247089,7.472838676901031,Drip,122,32,8,Medium
Maize,Vegetative,39,42,55,37.84093110354227,207.78465649931573,79.74056517708243,7.007911279315577,Sprinkler,101,27,0,Medium
Cotton,Flowering,73,53,21,39.89101021594682,167.48612849773573,53.978017089837934,8.150482066798777,Drip,61,9,34,Low
Rice,Seedling,69,37,67,26.11394038574364,97.72775778758651,53.42374284450784,6.955839622828947,Flood,30,13,0,Low
Maize,Fruiting,55,28,36,33.42287033648101,139.66169532404098,52.70818245348694,6.385871765256816,Flood,101,44,0,Medium
Wheat,Flowering,57,43,46,36.18722310957027,252.52834866979518,83.35361592900519,8.239721657669413,Flood,59,20,0,Low
Wheat,Fruiting,74,12,20,21.015370620787937,271.654287237665,41.38083859368523,7.236594686522676,Sprinkler,54,51,24,Medium
Maize,Vegetative,31,26,53,20.746963774984287,255.65014016491457,58.00953207056314,5.881181537955654,Drip,116,43,0,Medium
Maize,Fruiting,15,49,51,33.99024421534388,84.58827310445034,46.63727111214849,8.408610601342478,Flood,143,16,0,Medium
Maize,Flowering,67,59,66,36.71960241024412,223.9935515234245,60.44764722071349,6.019882960212537,Drip,87,7,0,Low
Cotton,Seedling,10,20,65,34.75793833391537,188.58851312785018,70.5860373117176,6.75880018728337,Flood,135,37,0,Medium
Rice,Seedling,38,18,73,21.8831397653712,127.85332734782355,88.97552643107542,6.0259908096680155,Flood,67,31,0,Low
Cotton,Seedling,32,14,73,37.73360774596095,115.2234058354285,40.76522701451924,8.300308924238449,Drip,102,44,0,Medium
Cotton,Flowering,11,53,36,38.80460482849915,193.86854446896973,59.4084963103261,7.4298646553270595,Drip,137,6,21,Medium
Wheat,Seedling,49,14,47,23.915822695785927,67.34032521879136,45.038900068871335,5.554665476954649,Sprinkler,78,43,0,Medium
Wheat,Vegetative,17,33,30,33.632273379455796,135.15614236606,53.034726411795155,6.988112362880218,Flood,110,29,8,Medium
Wheat,Seedling,45,14,77,31.370405674999166,193.98114381452115,76.582387764982,5.883069188267397,Drip,71,48,0,Low
Rice,Fruiting,46,16,59,35.017421355829946,238.6357185211706,45.15619344179663,8.207658720038701,Flood,63,37,0,Low
Wheat,Flowering,28,53,16,39.17082993766397,261.78578602389746,57.74525952313603,8.370402655379369,Sprinkler,101,4,28,Medium
Maize,Fruiting,78,39,16,26.57329090739832,218.1296140192596,77.618726471884,7.874737131177546,Drip,68,30,28,Medium
Rice,Flowering,23,35,9,34.74071113582018,186.47894254124722,75.29157419393474,8.405955831922405,Drip,76,19,36,Medium
Wheat,Vegetative,16,50,17,24.45152835142061,149.16290048856297,84.59484543883883,5.9398144650760765,Drip,98,10,20,Medium
Cotton,Fruiting,74,26,21,38.94497154767717,296.50026595571774,77.66890926294708,6.628778756592747,Sprinkler,74,34,40,Medium
Maize,Vegetative,99,23,43,28.689036889765426,113.42054346828468,60.26010433907086,7.214419075615032,Drip,49,48,0,Low
Maize,Seedling,71,53,29,37.3719825637892,105.89895962986316,88.16112697203056,5.536463424069449,Drip,83,16,11,Low
Wheat,Flowering,45,39,23,39.38605071238198,180.7744610425372,71.46993190676312,7.587246066953852,Sprinkler,65,20,17,Low
Rice,Flowering,25,27,61,38.30508683338213,289.6756018519616,42.89319488788537,6.68356539582439,Drip,72,27,0,Low
Rice,Fruiting,67,54,32,21.554692739299696,293.5987019165416,89.31053722398013,7.594485142059235,Drip,31,0,17,Low
Cotton,Seedling,38,17,50,21.524007591983263,285.1329567838459,60.83195288692396,7.243487863542478,Drip,93,47,12,Medium
Rice,Vegetative,14,59,37,35.55204567470451,170.09252046658867,89.26430253327521,6.630216909813822,Flood,92,0,9,Low
Wheat,Flowering,10,25,59,37.29444752510106,253.2252522825194,89.98588366430653,8.489910511221716,Drip,104,34,0,Medium
Rice,Vegetative,92,21,77,22.5831883030299,288.5127568146806,70.308731722544,6.1859284165103885,Drip,5,25,0,Low
Maize,Vegetative,43,58,7,30.403270022239866,263.04537507963505,67.59534193872427,7.182813914606159,Flood,113,13,32,Medium
Wheat,Vegetative,75,15,55,38.063021173532526,204.315928024323,89.02313625461889,7.324263548625655,Flood,49,42,0,Low
Cotton,Seedling,47,37,34,32.44173400455747,265.59092718668626,87.47603118288211,5.941220442787114,Drip,92,18,24,Medium
Cotton,Seedling,43,10,57,26.948268164508285,102.28269776962854,68.98249672358692,6.524689631369635,Sprinkler,102,50,5,Medium
Cotton,Fruiting,13,29,71,37.48635209708834,178.8090137160527,88.65551746350522,7.305806186622881,Sprinkler,135,30,0,Medium
Rice,Fruiting,51,26,25,30.974306184148173,183.60587593313076,57.79957421359931,8.182651788687778,Drip,52,28,28,Low
Rice,Seedling,56,26,60,37.47157248213554,280.2181001329533,43.05389799274319,6.330632944441611,Drip,41,19,0,Low
Wheat,Fruiting,88,51,60,29.690459703820427,204.563692882574,58.44568197848862,6.8876041483994435,Drip,35,11,0,Low
Maize,Flowering,32,50,22,28.948247336469095,183.15431661375578,52.12352518173648,6.3077296928481426,Drip,117,21,21,Medium
Wheat,Flowering,95,30,48,24.664328230996023,135.73171606956507,63.69849707152781,6.565312909837914,Drip,27,26,0,Low
Maize,Vegetative,43,51,12,31.73070869321518,191.11463563066033,58.93863129756447,6.512340501615754,Flood,98,21,28,Medium
Wheat,Seedling,42,57,26,24.506655954250565,141.3392049185144,64.3904900404369,8.052452553508438,Flood,76,4,11,Low
Maize,Flowering,49,41,40,39.94511069536789,274.1525657435052,68.799920890283,8.252186839256595,Sprinkler,96,29,0,Medium
Rice,Fruiting,60,6,79,31.432253789397997,119.99477341507104,78.47464665959684,6.06113124567257,Flood,33,41,0,Low
Wheat,Fruiting,21,51,5,32.21240084883265,122.15763831006394,69.06191107113061,5.963088145822607,Drip,99,6,30,Medium
Rice,Vegetative,19,9,27,30.978439597779545,100.43261558255895,74.22857739399166,5.7636043337279705,Sprinkler,75,44,18,Medium
Wheat,Flowering,24,28,42,28.23681828294537,137.21706663574884,86.4764572123913,7.991858223363187,Flood,99,31,0,Medium
Maize,Seedling,43,16,39,38.52898847179422,230.3991376878193,42.404732198204385,7.844543445254245,Sprinkler,105,53,0,Medium
